00:22:24 [INF] (Synphony.<clinit>:83) ------------- Tue Feb 07 00:22:24 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:22:28 [INF] (Synchronizer.sync:58) Syncing... (FROM: D:\zsyncsource TO: D:\zsynctarget)
00:22:28 [INF] (CopyFileVisitor.<init>:39) Source dir: D:\zsyncsource Target dir: D:\zsynctarget
00:22:28 [DBG] (CopyFileVisitor.preVisitDirectory:50) Incoming dir: 
00:22:28 [DBG] (CopyFileVisitor.preVisitDirectory:50) Incoming dir: dabr
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\.htaccess
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\.project
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\about.html
00:22:28 [DBG] (CopyFileVisitor.preVisitDirectory:50) Incoming dir: dabr\browsers
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\bigtouch.css
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\bigtouch.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\blackberry.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\desktop.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\list.csv
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\text.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\touch.css
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\touch.js
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\touch.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\browsers\worksafe.php
00:22:28 [DBG] (CopyFileVisitor.preVisitDirectory:50) Incoming dir: dabr\common
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\advert.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\Autolink.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\browser.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\Embedly.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\Extractor.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\HitHighlighter.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\lists.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\menu.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\OAuth.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\Regex.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\settings.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\theme.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\twitter.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\common\user.php
00:22:28 [INF] (CopyFileVisitor.visitFile:67) Copying entry: dabr\config.sample.php
